word,phonemic_transcription,vowel_syllable_count
charts,CH AA R T S,1
claar,K L AA R,1
clar,K L AA R,1
clark,K L AA R K,1
clark's,K L AA R K S,1
clarke,K L AA R K,1
clarke's,K L AA R K S,1
clarks,K L AA R K S,1
csar,Z AA R,1
czar,Z AA R,1
czar's,Z AA R Z,1
czars,Z AA R Z,1
dar,D AA R,1
dark,D AA R K,1
darke,D AA R K,1
darn,D AA R N,1
darned,D AA R N D,1
darns,D AA R N Z,1
darr(1),D AA R,1
darst,D AA R S T,1
dart,D AA R T,1
dart's,D AA R T S,1
darth,D AA R TH,1
darts,D AA R T S,1
dartt,D AA R T,1
fahr,F AA R,1
far,F AA R,1
far's,F AA R Z,1
farb,F AA R B,1
farce,F AA R S,1
farge,F AA R JH,1
farm,F AA R M,1
farm's,F AA R M Z,1
farmed,F AA R M D,1
farms,F AA R M Z,1
farms',F AA R M Z,1
farnes,F AA R N Z,1
farr,F AA R,1
fart,F AA R T,1
farve(1),F AA R V,1
flohr,F L AA R,1
gaar,G AA R,1
gahr,G AA R,1
gar,G AA R,1
garb,G AA R B,1
garbe,G AA R B,1
garbed,G AA R B D,1
gard,G AA R D,1
garde,G AA R D,1
garg,G AA R G,1
garl,G AA R L,1
garms,G AA R M Z,1
garn,G AA R N,1
garnes,G AA R N Z,1
garp,G AA R P,1
garp's,G AA R P S,1
garps,G AA R P S,1
gars,G AA R Z,1
garske,G AA R S K,1
garst,G AA R S T,1
garth,G AA R TH,1
gartzke,G AA R T S K,1
giard(1),JH AA R D,1
gnarl,N AA R L,1
gnarle,N AA R L,1
gnarled,N AA R L D,1
gnarls,N AA R L Z,1
gohr,G AA R,1
guard,G AA R D,1
guard's,G AA R D Z,1
guards,G AA R D Z,1
haar,HH AA R,1
har,HH AA R,1
harb,HH AA R B,1
harc,HH AA R K,1
hard,HH AA R D,1
hards,HH AA R D Z,1
hardt,HH AA R T,1
harff,HH AA R F,1
hark,HH AA R K,1
harke,HH AA R K,1
harks,HH AA R K S,1
harl,HH AA R L,1
harm,HH AA R M,1
harm's,HH AA R M Z,1
harmed,HH AA R M D,1
harmes,HH AA R M Z,1
harms,HH AA R M Z,1
harn,HH AA R N,1
harne,HH AA R N,1
harned,HH AA R N D,1
harp,HH AA R P,1
harpe,HH AA R P,1
harped,HH AA R P T,1
harps,HH AA R P S,1
harpst,HH AA R P S T,1
harsch,HH AA R SH,1
harsh,HH AA R SH,1
hart,HH AA R T,1
hart's,HH AA R T S,1
harte,HH AA R T,1
harth,HH AA R TH,1
harts,HH AA R T S,1
hartt,HH AA R T,1
hartz,HH AA R T S,1
harv,HH AA R V,1
harve,HH AA R V,1
heart,HH AA R T,1
heart's,HH AA R T S,1
hearth,HH AA R TH,1
hearths,HH AA R TH S,1
hearts,HH AA R T S,1
huard,HH W AA R D,1
jahr,JH AA R,1
jar,JH AA R,1
jarred,JH AA R D,1
jars,JH AA R Z,1
kahr,K AA R,1
kahr's,K AA R Z,1
kahre(1),K AA R,1
kahrs,K AA R Z,1
karch,K AA R K,1
karcz,K AA R CH,1
karg,K AA R G,1
karl,K AA R L,1
karl's,K AA R L Z,1
karls,K AA R L Z,1
karn,K AA R N,1
karnes,K AA R N Z,1
karns,K AA R N Z,1
karp,K AA R P,1
karpf,K AA R P F,1
karr,K AA R,1
karsh,K AA R SH,1
karst,K AA R S T,1
kartes,K AA R T S,1
kharg,K AA R G,1
kjar,K Y AA R,1
klar,K L AA R,1
lahr,L AA R,1
lar,L AA R,1
larch,L AA R CH,1
lard,L AA R D,1
large,L AA R JH,1
lark,L AA R K,1
larke,L AA R K,1
larks,L AA R K S,1
larned,L AA R N D,1
lars,L AA R Z,1
larsh,L AA R SH,1
maher,M AA R,1
mahr,M AA R,1
mahrt,M AA R T,1
mar,M AA R,1
marc,M AA R K,1
march,M AA R CH,1
marche,M AA R SH,1
marched,M AA R CH T,1
marcks,M AA R K S,1
marge,M AA R JH,1
marje,M AA R JH,1
mark,M AA R K,1
mark's,M AA R K S,1
marke,M AA R K,1
marked,M AA R K T,1
marks,M AA R K S,1
marque,M AA R K,1
marques,M AA R K S,1
marr,M AA R,1
marred,M AA R D,1
marrs,M AA R Z,1
mars,M AA R Z,1
mars',M AA R Z,1
marsch,M AA R SH,1
marschke,M AA R SH K,1
marse,M AA R S,1
marsh,M AA R SH,1
mart,M AA R T,1
mart's,M AA R T S,1
marte,M AA R T,1
marth,M AA R TH,1
marthe,M AA R DH,1
marts,M AA R T S,1
martz,M AA R T S,1
marv,M AA R V,1
marx,M AA R K S,1
marz,M AA R Z,1
mawr(1),M AA R,1
meagher,M AA R,1
merc(1),M AA R K,1
merc's(1),M AA R K S,1
narc,N AA R K,1
nard,N AA R D,1
nars,N AA R Z,1
our(2),AA R,1
ours(1),AA R Z,1
paar,P AA R,1
par,P AA R,1
par's,P AA R Z,1
parc,P AA R K,1
parch,P AA R CH,1
parched,P AA R CH T,1
parde,P AA R D,1
park,P AA R K,1
park's,P AA R K S,1
parke,P AA R K,1
parked,P AA R K T,1
parkes,P AA R K S,1
parks,P AA R K S,1
parks',P AA R K S,1
parnes,P AA R N Z,1
parr,P AA R,1
pars,P AA R Z,1
parse,P AA R S,1
parsed,P AA R S T,1
part,P AA R T,1
part's,P AA R T S,1
partch,P AA R CH,1
parte,P AA R T,1
parts,P AA R T S,1
parts',P AA R T S,1
pfarr,F AA R,1
phar,F AA R,1
pharr,F AA R,1
quark,K W AA R K,1
quarks,K W AA R K S,1
quarre,K W AA R,1
r,AA R,1
r's,AA R Z,1
r.,AA R,1
r.'s,AA R Z,1
r.s,AA R Z,1
saar,S AA R,1
sar,S AA R,1
sarff,S AA R F,1
sarge,S AA R JH,1
sark,S AA R K,1
sarles,S AA R L Z,1
sars,S AA R Z,1
scar,S K AA R,1
scarf,S K AA R F,1
scarff,S K AA R F,1
scarfs,S K AA R F S,1
scarp,S K AA R P,1
scarred,S K AA R D,1
scars,S K AA R Z,1
scarves,S K AA R V Z,1
schaar,SH AA R,1
schar,SH AA R,1
schardt,SH AA R T,1
scharf,SH AA R F,1
scharfe,S K AA R F,1
scharff,SH AA R F,1
scharp,SH AA R P,1
scharpf,SH AA R P F,1
scharr,SH AA R,1
schartz,SH AA R T S,1
schlarb,SH L AA R B,1
shard,SH AA R D,1
shards,SH AA R D Z,1
sharf,SH AA R F,1
shark,SH AA R K,1
sharks,SH AA R K S,1
sharm,SH AA R M,1
sharp,SH AA R P,1
sharp's,SH AA R P S,1
sharpe,SH AA R P,1
sharps,SH AA R P S,1
skaar,S K AA R,1
sklar,S K L AA R,1
smart,S M AA R T,1
smarts,S M AA R T S,1
smartt,S M AA R T,1
snarl,S N AA R L,1
snarls,S N AA R L Z,1
spahr,S P AA R,1
spar,S P AA R,1
sparc,S P AA R K,1
spark,S P AA R K,1
sparked,S P AA R K T,1
sparkes,S P AA R K S,1
sparks,S P AA R K S,1
sparred,S P AA R D,1
sparse,S P AA R S,1
spartz,S P AA R T S,1
sphar,S F AA R,1
spohr,S P AA R,1
staar,S T AA R,1
staar's,S T AA R Z,1
star,S T AA R,1
star's,S T AA R Z,1
starch,S T AA R CH,1
starched,S T AA R CH T,1
starck,S T AA R K,1
stark,S T AA R K,1
stark's,S T AA R K S,1
starke,S T AA R K,1
starkes,S T AA R K S,1
starks,S T AA R K S,1
starn,S T AA R N,1
starnes,S T AA R N Z,1
starns,S T AA R N Z,1
starr,S T AA R,1
starr's,S T AA R Z,1
starred,S T AA R D,1
starrs,S T AA R Z,1
stars,S T AA R Z,1
stars',S T AA R Z,1
start,S T AA R T,1
starts,S T AA R T S,1
starve,S T AA R V,1
starved,S T AA R V D,1
starves,S T AA R V Z,1
suard(1),S W AA R D,1
tar,T AA R,1
tarp,T AA R P,1
tarps,T AA R P S,1
tarr,T AA R,1
tarred,T AA R D,1
tart,T AA R T,1
tarte,T AA R T,1
tarts,T AA R T S,1
tartt,T AA R T,1
thar,TH AA R,1
tharp,TH AA R P,1
tharpe,TH AA R P,1
tharpe's,TH AA R P S,1
tjarks,JH AA R K S,1
tsar,Z AA R,1
tsar(1),T S AA R,1
varn,V AA R N,1
varnes,V AA R N Z,1
vars,V AA R Z,1
varves,V AA R V Z,1
voir,V W AA R,1
wharff,W AA R F,1
wharff(1),HH W AA R F,1
yahr,Y AA R,1
yard,Y AA R D,1
yard's,Y AA R D Z,1
yarde,Y AA R D,1
yards,Y AA R D Z,1
yarn,Y AA R N,1
yarns,Y AA R N Z,1
zarb,Z AA R B,1
zarre,Z AA R,1
aardvark,AA R D V AA R K,2
aardvarks,AA R D V AA R K S,2
archard,AA R SH AA R D,2
artcarve,AA R T K AA R V,2
artcarved,AA R T K AA R V D,2
bargar,B AA R G AA R,2
barnard,B AA R N AA R D,2
barnard's,B AA R N AA R D Z,2
barnhard,B AA R N HH AA R D,2
barnhardt,B AA R N HH AA R T,2
barnhart,B AA R N HH AA R T,2
barnyard,B AA R N Y AA R D,2
carhart,K AA R HH AA R T,2
dardar,D AA R D AA R,2
farmyard,F AA R M Y AA R D,2
farquar,F AA R K W AA R,2
hardart,HH AA R D AA R T,2
hartmarx,HH AA R T M AA R K S,2
marquard,M AA R K W AA R D,2
marquardt,M AA R K W AA R T,2
marquart,M AA R K W AA R T,2
parmar,P AA R M AA R,2
parpart,P AA R P AA R T,2
sarkar,S AA R K AA R,2
smartcard,S M AA R T K AA R D,2
earmark(1),IY R M AA R K,2
earmarked(1),IY R M AA R K T,2
earmarks(1),IY R M AA R K S,2
gearhart(1),G IY R HH AA R T,2
gearheart(1),G IY R HH AA R T,2
kearsarge,K IY R S AA R JH,2
blowhard,B L OW HH AA R D,2
blowhards,B L OW HH AA R D Z,2
boatyard,B OW T Y AA R D,2
bogart,B OW G AA R T,2
bonior(1),B OW N W AA R,2
boyar,B OW Y AA R,2
costar,K OW S T AA R,2
costars,K OW S T AA R Z,2
crowbar,K R OW B AA R,2
dzhokhar,JH OW K AA R,2
dzhokhar's,JH OW K AA R Z,2
dzokhar,JH OW K AA R,2
flowchart,F L OW CH AA R T,2
flowcharts,F L OW CH AA R T S,2
glomar,G L OW M AA R,2
go-cart,G OW K AA R T,2
grossbard,G R OW S B AA R D,2
hobart,HH OW B AA R T,2
hogarth,HH OW G AA R TH,2
homart,HH OW M AA R T,2
lodestar,L OW D S T AA R,2
mostar,M OW S T AA R,2
mostar's,M OW S T AA R Z,2
mozart,M OW Z AA R T,2
mozart(1),M OW T S AA R T,2
mozart's,M OW Z AA R T S,2
mozart's(1),M OW T S AA R T S,2
o'barr,OW B AA R,2
oakar,OW K AA R,2
oakmark,OW K M AA R K,2
obarr,OW B AA R,2
omaar,OW M AA R,2
omar,OW M AA R,2
ozark,OW Z AA R K,2
ozarks,OW Z AA R K S,2
plocar,P L OW K AA R,2
postcard,P OW S T K AA R D,2
postcard(1),P OW S K AA R D,2
postcards,P OW S T K AA R D Z,2
postcards(1),P OW S K AA R D Z,2
postmark,P OW S T M AA R K,2
postmarked,P OW S T M AA R K T,2
rocard(1),R OW K AA R D,2
rocard(2),R OW SH AA R D,2
rokahr,R OW K AA R,2
rokar,R OW K AA R,2
sonar,S OW N AA R,2
tokar,T OW K AA R,2
tokars,T OW K AA R Z,2
tokarz,T OW K AA R Z,2
tovar,T OW V AA R,2
novopharm,N OW V OW F AA R M,3
almodovar,AA L M OW D OW V AA R,4
turbocharge,T ER B OW CH AA R JH,3
turbocharged,T ER B OW CH AA R JH D,3
aeromar(1),EH R OW M AA R,3
aerostar,EH R OW S T AA R,3
aerostar's,EH R OW S T AA R Z,3
aerostars,EH R OW S T AA R Z,3
escobar,EH S K OW B AA R,3
escobar's,EH S K OW B AA R Z,3
autopart,AO T OW P AA R T,3
autoparts,AO T OW P AA R T S,3
wor(2),D AH B AH Y UW OW AA R,5
wor(1),D AH B EH L Y UW OW AA R,5
eurostar,Y UH R OW S T AA R,3
baumgardt,B AW M G AA R T,2
baumgart,B AW M G AA R T,2
baumhardt,B AW M HH AA R T,2
baumstark,B AW M S T AA R K,2
cowart,K AW AA R T,2
howarth,HH AW AA R TH,2
kraushaar,K R AW SH AA R,2
mouthpart,M AW TH P AA R T,2
mouthparts,M AW TH P AA R T S,2
outsmart,AW T S M AA R T,2
outsmarts,AW T S M AA R T S,2
southmark,S AW TH M AA R K,2
southmark's,S AW TH M AA R K S,2
boilard,B OY L AA R D,2
deutschemark,D OY CH M AA R K,2
deutschemark's,D OY CH M AA R K S,2
deutschemarks,D OY CH M AA R K S,2
steuart,S T OY AA R T,2
aydar,AY D AA R,2
breitbarth,B R AY T B AA R TH,2
diehard,D AY HH AA R D,2
diehards,D AY HH AA R D Z,2
dinehart,D AY N HH AA R T,2
einspahr,AY N S P AA R,2
firearm(1),F AY R AA R M,2
firearms(1),F AY R AA R M Z,2
freimark,F R AY M AA R K,2
gaidar,G AY D AA R,2
gaidar's,G AY D AA R Z,2
geidar,G AY D AA R,2
giroir,ZH AY R W AA R,2
lainhart,L AY N HH AA R T,2
leinart,L AY N AA R T,2
leiphart,L AY P HH AA R T,2
lifeguard,L AY F G AA R D,2
lifeguards,L AY F G AA R D Z,2
meinhardt,M AY N HH AA R T,2
meinhart,M AY N HH AA R T,2
minehart,M AY N HH AA R T,2
mizar,M AY Z AA R,2
mizar's,M AY Z AA R Z,2
mylar,M AY L AA R,2
neidhardt,N AY D HH AA R T,2
neidhart,N AY D HH AA R T,2
nizar,N AY Z AA R,2
nygaard,N AY G AA R D,2
primestar,P R AY M S T AA R,2
reichardt,R AY K AA R T,2
reinhard,R AY N HH AA R D,2
reinhardt,R AY N HH AA R T,2
reinhart,R AY N HH AA R T,2
reinhart's,R AY N HH AA R T S,2
rhinehardt,R AY N HH AA R T,2
rhinehart,R AY N HH AA R T,2
rinehardt,R AY N HH AA R T,2
rinehart,R AY N HH AA R T,2
schweighardt,SH W AY G HH AA R T,2
sidearm,S AY D AA R M,2
sidearms,S AY D AA R M Z,2
sidebar,S AY D B AA R,2
sidebars,S AY D B AA R Z,2
skylark,S K AY L AA R K,2
skylarks,S K AY L AA R K S,2
steinhardt,S T AY N HH AA R T,2
steinhardt's,S T AY N HH AA R T S,2
steinhart,S T AY N HH AA R T,2
stinar,S T AY N AA R,2
swinehart,S W AY N HH AA R T,2
synar(1),S AY N AA R,2
tigar,T AY G AA R,2
tigar's,T AY G AA R Z,2
triarc,T R AY AA R K,2
tristar,T R AY S T AA R,2
tryart,T R AY AA R T,2
tygar,T AY G AA R,2
tygart,T AY G AA R T,2
weimar,V AY M AA R,2
weingart,W AY NG G AA R T,2
weinhardt,W AY N HH AA R T,2
weishaar,W AY SH AA R,2
wiard,W AY AA R D,2
wildcard,W AY L D K AA R D,2
wisehart,W AY Z HH AA R T,2
cornstarch,K AO R N S T AA R CH,2
courtyard,K AO R T Y AA R D,2
courtyards,K AO R T Y AA R D Z,2
fluorspar(1),F L AO R S P AA R,2
forearm,F AO R AA R M,2
forearm(1),F AO R AA R M,2
forearms,F AO R AA R M Z,2
forearms(1),F AO R AA R M Z,2
morehart(1),M AO R HH AA R T,2
morgart,M AO R G AA R T,2
norgaard,N AO R G AA R D,2
norstar,N AO R S T AA R,2
northstar,N AO R TH S T AA R,2
northstar's,N AO R TH S T AA R Z,2
scorecard,S K AO R K AA R D,2
scorecards,S K AO R K AA R D Z,2
sportsbar,S P AO R T S B AA R,2
torchmark,T AO R CH M AA R K,2
torstar,T AO R S T AA R,2
aydar(1),EY D AA R,2
bejar,B EY Y AA R,2
braveheart,B R EY V HH AA R T,2
capehart,K EY P HH AA R T,2
cesarz,S EY S AA R Z,2
descartes,D EY K AA R T,2
descartes's,D EY K AA R T S,2
dezarn,D EY Z AA R N,2
gabehart,G EY B HH AA R T,2
gaydar,G EY D AA R,2
gayhart,G EY HH AA R T,2
gayheart,G EY HH AA R T,2
graveyard,G R EY V Y AA R D,2
graveyards,G R EY V Y AA R D Z,2
hagar,HH EY G AA R,2
k-mart,K EY M AA R T,2
k-mart's,K EY M AA R T S,2
kmart,K EY M AA R T,2
kmart's,K EY M AA R T S,2
lanehart,L EY N HH AA R T,2
lenarz,L EY N AA R Z,2
meharg,M EY HH AA R G,2
nayyar,N EY Y AA R,2
neyhart,N EY HH AA R T,2
quasar,K W EY Z AA R,2
radar,R EY D AA R,2
radars,R EY D AA R Z,2
raymark,R EY M AA R K,2
raymark's,R EY M AA R K S,2
safecard,S EY F K AA R D,2
safecard's,S EY F K AA R D Z,2
safeguard,S EY F G AA R D,2
safeguards,S EY F G AA R D Z,2
seyfarth,S EY F AA R TH,2
trademark,T R EY D M AA R K,2
trademarked,T R EY D M AA R K T,2
trademarks,T R EY D M AA R K S,2
zadar,Z EY D AA R,2
baldemar,B AA L D EY M AA R,3
valdemar,V AA L D EY M AA R,3
hocevar,HH OW S EY V AA R,3
kjar(1),K EY JH EY EY AA R,4
bookmark,B UH K M AA R K,2
bookmarks,B UH K M AA R K S,2
budvar(1),B UH D V AA R,2
bushart,B UH SH AA R T,2
fluorspar,F L UH R S P AA R,2
goodbar,G UH D B AA R,2
goodhart,G UH D HH AA R T,2
goodheart,G UH D HH AA R T,2
shurgard,SH UH R G AA R D,2
wolfarth,W UH L F AA R TH,2
woodyard,W UH D Y AA R D,2
brouillard,B R W IY L AA R D,2
chouinard,SH W IY N AA R D,2
couillard,K W IY L AA R D,2
d'ivoire,D IY V W AA R,2
demarche(1),D IY M AA R CH,2
detar(1),D IY T AA R,2
drouillard,D R W IY L AA R D,2
giard,JH IY AA R D,2
guizar,G W IY Z AA R,2
issar,IY S AA R,2
itar,IY T AA R,2
jiar,JH IY AA R,2
leaphart,L IY P HH AA R T,2
lienhard,L IY N HH AA R D,2
lienhart,L IY N HH AA R T,2
pintar,P IY N T AA R,2
premark,P R IY M AA R K,2
rearm,R IY AA R M,2
rebar,R IY B AA R,2
recharge,R IY CH AA R JH,2
recharged,R IY CH AA R JH D,2
remark(1),R IY M AA R K,2
remarked(1),R IY M AA R K T,2
remarks(1),R IY M AA R K S,2
restart,R IY S T AA R T,2
retard(1),R IY T AA R D,2
retards(1),R IY T AA R D Z,2
rouillard,R W IY L AA R D,2
streetcar,S T R IY T K AA R,2
sweetheart,S W IY T HH AA R T,2
sweethearts,S W IY T HH AA R T S,2
sweigart,S W IY G AA R T,2
ziebarth,Z IY B AA R TH,2
aquilar,AA K W IY L AA R,3
bodyguard,B AA D IY G AA R D,3
bodyguards,B AA D IY G AA R D Z,3
saldivar,S AA L D IY V AA R,3
zaldivar,Z AA L D IY V AA R,3
moneycard,M AH N IY K AA R D,3
multipart,M AH L T IY P AA R T,3
caviar,K AE V IY AA R,3
mcgalliard,M AH G AE L IY AA R D,4
meciar,M EH S IY AA R,3
npr,EH N P IY AA R,3
npr's,EH N P IY AA R Z,3
emdr,IY EH M D IY AA R,4
batterymarch,B AH T EH R IY M AA R CH,4
hiriart,HH IH R IY AA R T,3
minicar,M IH N IY K AA R,3
minicars,M IH N IY K AA R Z,3
juilliard,JH UW L IY AA R D,3
julliard,JH UW L IY AA R D,3
matriarch,M EY T R IY AA R K,3
menjivar,M EY N Y IY V AA R,3
patriarch,P EY T R IY AA R K,3
patriarch's,P EY T R IY AA R K S,3
patriarchs,P EY T R IY AA R K S,3
staniar,S T EY N IY AA R,3
akbar(1),AA K B AA R,2
algar,AA L G AA R,2
allar,AA L AA R,2
alsgaard,AA L Z G AA R D,2
anwar(1),AA N W AA R,2
armoire,AA M W AA R,2
armoires,AA M W AA R Z,2
asgard,AA S G AA R D,2
azar,AA Z AA R,2
babar,B AA B AA R,2
babar's,B AA B AA R Z,2
baumgardt(1),B AA M G AA R T,2
baumgart(1),B AA M G AA R T,2
baumhardt(1),B AA M HH AA R T,2
baumstark(1),B AA M S T AA R K,2
bohart,B AA HH AA R T,2
bombard,B AA M B AA R D,2
bosarge,B AA S AA R G,2
boshart,B AA SH AA R T,2
boxcar,B AA K S K AA R,2
boxcars,B AA K S K AA R Z,2
brossart,B R AA S AA R T,2
calmark,K AA L M AA R K,2
calmart,K AA L M AA R T,2
calmart's,K AA L M AA R T S,2
constar,K AA N S T AA R,2
cozart,K AA Z AA R T,2
csaszar,T S AA SH AA R,2
dakar,D AA K AA R,2
dockyard,D AA K Y AA R D,2
flockhart,F L AA K HH AA R T,2
gancarz,G AA N K AA R Z,2
gendarme,ZH AA N D AA R M,2
godart,G AA D AA R T,2
goddart,G AA D AA R T,2
gotthardt,G AA TH AA R T,2
hajjar,HH AA Y AA R,2
hallmark,HH AA L M AA R K,2
jamar,Y AA M AA R,2
lafarge,L AA F AA R JH,2
lamar,L AA M AA R,2
lamar's,L AA M AA R Z,2
lamarr,L AA M AA R,2
lamarre,L AA M AA R,2
lazarz,L AA Z AA R Z,2
lockart,L AA K AA R T,2
lockhart,L AA K HH AA R T,2
lombard,L AA M B AA R D,2
lombards,L AA M B AA R D Z,2
loncar,L AA N K AA R,2
monarch,M AA N AA R K,2
monarch's,M AA N AA R K S,2
monarchs,M AA N AA R K S,2
myanmar,M Y AA N M AA R,2
myanmar's,M Y AA N M AA R Z,2
najar,N AA Y AA R,2
najjar,N AA Y AA R,2
navar,N AA V AA R,2
navarre,N AA V AA R,2
nazar,N AA Z AA R,2
non-farm,N AA N F AA R M,2
nonfarm,N AA N F AA R M,2
otmar,AA T M AA R,2
oxcart,AA K S K AA R T,2
pockmark,P AA K M AA R K,2
pockmarked,P AA K M AA R K T,2
podnar,P AA D N AA R,2
robarge,R AA B AA R G,2
robart,R AA B AA R T,2
robarts,R AA B AA R T S,2
rodarte,R AA D AA R T,2
sagar,S AA G AA R,2
scotchgard,S K AA CH G AA R D,2
stockyard,S T AA K Y AA R D,2
stockyards,S T AA K Y AA R D Z,2
tabar,T AA B AA R,2
tatar,T AA T AA R,2
tatars,T AA T AA R Z,2
zagar,Z AA G AA R,2
zalar,Z AA L AA R,2
ravishankar,R AA V IY SH AA NG K AA R,4
almanzar,AA L M AA N Z AA R,3
baltazar,B AA L T AA Z AA R,3
avant-garde,AH V AA N T G AA R D,3
avant-garde(1),AH V AA N G AA R D,3
jayashankar,JH AY AH SH AA NG K AA R,4
delamar,D EY L AA M AA R,3
sukthankar,S UW K T AA NG K AA R,3
coltharp,K OW L TH AA R P,2
goldfarb,G OW L D F AA R B,2
goldmark,G OW L D M AA R K,2
goldstar,G OW L D S T AA R,2
golkar,G OW L K AA R,2
molnar(1),M OW L N AA R,2
oldsmar,OW L D Z M AA R,2
solarz,S OW L AA R Z,2
stolarz,S T OW L AA R Z,2
wohlfarth,W OW L F AA R TH,2
meadowlark,M EH D OW L AA R K,3
adar,AH D AA R,2
afar,AH F AA R,2
ahart,AH HH AA R T,2
ajar,AH JH AA R,2
alard,AH L AA R D,2
alarm,AH L AA R M,2
alarm's,AH L AA R M Z,2
alarmed,AH L AA R M D,2
alarms,AH L AA R M Z,2
amar,AH M AA R,2
amar's,AH M AA R Z,2
apart,AH P AA R T,2
azhar,AH Z AA R,2
azhar's,AH Z AA R Z,2
bashar,B AH SH AA R,2
bazaar,B AH Z AA R,2
bazaars,B AH Z AA R Z,2
bazar,B AH Z AA R,2
bizarre,B AH Z AA R,2
bodnar,B AH D N AA R,2
bogar,B AH G AA R,2
bognar,B AH G N AA R,2
bolyard,B AH L Y AA R D,2
bomar,B AH M AA R,2
bondar,B AH N D AA R,2
bongard,B AH NG G AA R D,2
bossard,B AH S AA R D,2
bossart,B AH S AA R T,2
bovard,B AH V AA R D,2
bozard,B AH Z AA R D,2
brossard,B R AH S AA R D,2
brungardt,B R AH NG G AA R T,2
budvar,B AH D V AA R,2
bunyard,B AH N Y AA R D,2
canard,K AH N AA R D,2
ceasar,S AH S AA R,2
cotnoir,K AH T N W AA R,2
demark,D AH M AA R K,2
ducharme,D AH SH AA R M,2
duhart,D AH HH AA R T,2
dukart,D AH K AA R T,2
dunbar,D AH N B AA R,2
fayard,F AH Y AA R D,2
gabbard,G AH B AA R D,2
gallard,G AH L AA R D,2
gaspard,G AH S P AA R D,2
ghafar,G AH F AA R,2
gilyard,ZH AH L Y AA R D,2
godar,G AH D AA R,2
godard,G AH D AA R D,2
gombar,G AH M B AA R,2
gossard,G AH S AA R D,2
gumaer(1),G AH M AA R,2
hamar,HH AH M AA R,2
hilyard,HH AH L Y AA R D,2
hughart,HH AH G HH AA R T,2
jabar,JH AH B AA R,2
jabar's,JH AH B AA R Z,2
jabbar,JH AH B AA R,2
jaffar,JH AH F AA R,2
jumpstart,JH AH M P S T AA R T,2
jumpstarts,JH AH M P S T AA R T S,2
junkyard,JH AH NG K Y AA R D,2
junkyards,JH AH NG K Y AA R D Z,2
kabart,K AH B AA R T,2
kadar(1),K AH D AA R,2
labar,L AH B AA R,2
