,phonemic_transcription
959,M AH G AA R
960,M AH K AA R G
961,AH B AA R
962,P AH K AA R
963,K AH T AA R
964,R AH G AA R D
965,R AH B AA R
966,R AH K AA R D
967,R AH T G AA R D
968,SH AH K AA R T
969,SH AH K HH AA R T
970,SH AH HH AA R
971,SH AH HH AA R Z
972,SH AH G AA R T
973,SH AH G AA R T
974,S T AH T G AA R D
975,S AH B P AA R
976,S AH D AA R TH
977,S AH N G AA R D
978,S AH N G AA R D Z
979,S AH N S T AA R
980,DH AH S F AA R
981,AH D V AA R
982,AH N AA R M
983,AH N AA R M D
984,AH N HH AA R M D
985,AH N M AA R K T
986,AH P S T AA R T
987,AH P S T AA R T S
988,V AH N AA R K S
989,Z AH K AA R
990,IY T AH M AA R
991,L IY AH N HH AA R T
992,L IY AH T AA R D
993,S R IY N AH G AA R
994,SH R IY N AH G AA R
995,S R IY N AH G AA R B
996,SH R IY N AH G AA R B
997,M IY D IY AH M AA R K
998,AA L K AH Z AA R
999,K AA M AH S AA R
1000,S AA L D AH V AA R
1001,V AA L D AH M AA R
1002,UW L AA N B AH T AA R
1003,B OW N AH P AA R T
1004,B OW N AH P AA R T S
1005,G L OW B AH L S T AA R
1006,M OW AH M AA R
1007,Z OW F AH G AA R T
1008,AH L T R AH M AA R
1009,AE D AH L AA R
1010,AE G AH L AA R
1011,AE G AH L AA R
1012,AE L AH M AA R
1013,AE P L AH G AA R TH
1014,AE P AH L Y AA R D
1015,AE V AH T AA R
1016,AE V AH T AA R Z
1017,D AE G AH N HH AA R T
1018,D AE T AH K AA R D
1019,D AE T AH K AA R D Z
1020,D R AE G AH N HH AA R T
1021,F R AE G AH N AA R D
1022,HH AE N D AH L B AA R
1023,HH AE N D AH L B AA R Z
1024,K AE N D AH HH AA R
1025,M AE K N AH M AA R
1026,P AE L AH M AA R
1027,S AE L AH Z AA R
1028,S AE M AH T AA R
1029,V AE N D AH K AA R
1030,V AE N D AH M AA R K
1031,W AE G AH N AA R
1032,Z AE N Z AH B AA R
1033,P OY N T AH N W AA R
1034,EH R AH M AA R
1035,B EH R AH B AA R
1036,D EH G AH N HH AA R T
1037,EH NG G AH L HH AA R D
1038,EH NG G AH L HH AA R T
1039,EH S K AH B AA R
1040,EH S K AH B AA R Z
1041,HH EH K M AH T Y AA R
1042,HH EH K M AH T Y AA R Z
1043,K W EH S CH AH N M AA R K
1044,R EH Z AH V W AA R
1045,S EH M AH N AA R
1046,S EH M AH N AA R Z
1047,B AY AH F AA R M
1048,AY Z AH N B AA R TH
1049,AY Z AH N HH AA R T
1050,AY Z AH N HH AA R T
1051,AY G AH L HH AA R T
1052,AY Z AH N HH AA R T
1053,L AY AH N HH AA R T
1054,S IH N AH B AA R
1055,IH NG AH L HH AA R T
1056,IH NG AH L HH AA R T
1057,HH IH L D AH G AA R D
1058,HH IH L D AH G AA R D Z
1059,HH IH M AH L F AA R B
1060,IH N S AH F AA R
1061,M IH L AH B AA R
1062,M IH R AH M AA R
1063,D EH L AH B AA R
1064,T EH L AH K AA R D
1065,T EH L AH CH AA R JH
1066,W AO L D AH G AA R D
1067,V UW K AH V AA R
1068,K AH JH UW AH HH AA R
1069,Y UW R AH M AA R K
1070,L AO R AH L AA R D
1071,L AO R AH M AA R
1072,L AO R AH M AA R Z
1073,D EY T AH K AA R D
1074,D EY T AH K AA R D Z
1075,B UH L AH V AA R D
1076,B UH L AH V AA R D
1077,B UH L AH V AA R D Z
1078,AE D S T AA R
1079,AE L AA R D
1080,AE L V AA R
1081,AE M S T AA R
1082,AE N S G AA R
1083,AE N S G AA R Z
1084,AE N W AA R
1085,AE P K AA R
1086,AE P G AA R
1087,AE P S T AA R
1088,AE T AA R
1089,AE T AA R D
1090,AE V M AA R K
1091,B AE K Y AA R D
1092,B AE K Y AA R D Z
1093,B AE L AA R T
1094,B AE N D AA R
1095,B AE NG HH AA R T
1096,B AE NG K AA R D
1097,B AE NG K AA R D Z
1098,K AE L M AA R
1099,K AE L M AA R T
1100,K AE L M AA R T S
1101,K AE N S T AA R
1102,K AE S P AA R
1103,K AE S T P AA R T
1104,K AE S T P AA R T S
1105,K AE TH K AA R T
1106,D AE D F AA R
1107,D AE G M AA R
1108,D AE L B AA R
1109,D AE M G AA R D
1110,F AE G AA R T
1111,F L AE G S T AA R
1112,F L AE SH K AA R D
1113,F L AE SH K AA R D Z
1114,G AE B HH AA R T
1115,HH AE K B AA R T
1116,HH AE K B AA R TH
1117,HH AE SH M AA R K
1118,JH AE G W AA R
1119,JH AE G W AA R Z
1120,JH AE G W AA R Z
1121,K AE L V AA R
1122,L AE B AA R JH
1123,L AE K M AA R
1124,L AE N D M AA R K
1125,L AE N D M AA R K S
1126,L AE N D M AA R K S
1127,M AE G Y AA R
1128,M AE G Y AA R Z
1129,M AE N HH AA R T
1130,N AE S K AA R
1131,N AE V S T AA R
1132,P AE L K AA R
1133,P AE TH M AA R K
1134,P AE TH M AA R K S
1135,R AE M P AA R T S
1136,S AE L Y AA R D Z
1137,S AE M AA R
1138,S AE N D B AA R
1139,S AE N M AA R K
1140,SH AE NG K AA R
1141,S N AE K B AA R
1142,T R AE N Z M AA R K
1143,T R AE N S P AA R K
1144,T R AE N S T AA R
1145,V AE L Z P AA R
1146,V AE N G AA R D
1147,V AE N G AA R D Z
1148,Z AE B AA R Z
1149,B ER AA R D
1150,B ER N AA R D
1151,B ER N AA R D Z
1152,B ER N AA R D Z
1153,B ER N HH AA R D
1154,B ER N HH AA R T
1155,B ER N HH AA R T
1156,B ER AA R D
1157,B ER TH M AA R K
1158,B ER TH M AA R K S
1159,B ER SH AA R D
1160,B ER SH AA R D T
1161,B ER SH AA R D
1162,B ER K HH AA R T
1163,B ER G AA R T
1164,B ER G HH AA R T
1165,B ER K AA R T
1166,B ER K HH AA R T
1167,B ER K HH AA R T
1168,B ER N AA R D
1169,CH ER CH Y AA R D
1170,ER N HH AA R T
1171,ER N HH AA R T
1172,ER N HH AA R T
1173,ER TH S T AA R
1174,ER HH AA R T
1175,ER HH AA R T
1176,F ER AA R
1177,F ER AA R
1178,F ER S T AA R
1179,F ER M AA R K
1180,G ER AA R D
1181,JH ER AA R D
1182,G ER HH AA R D
1183,G ER HH AA R T
1184,G ER HH AA R T
1185,JH ER AA R D
1186,G ER AA R D
1187,ZH ER AA R D
1188,K ER K HH AA R T
1189,SH ER B AA R TH
1190,SH ER AA R
1191,SH ER AA R
1192,S ER CH AA R JH
1193,S ER CH AA R JH
1194,T ER HH AA R
1195,CH ER HH AA R T
1196,ER K AA R T
1197,W ER D S T AA R
1198,AA S T ER G AA R D
1199,V AA N D ER HH AA R
1200,M OW T ER K AA R
1201,M OW T ER K AA R Z
1202,OW B ER S T AA R
1203,OW V ER CH AA R JH
1204,OW V ER CH AA R JH D
1205,OW V ER G AA R D
1206,K AW N T ER CH AA R JH
1207,K AW N ER CH AA R JH
1208,K AW N T ER P AA R T
1209,K AW N T ER P AA R T S
1210,HH AH N D ER T M AA R K
1211,L AH M B ER Y AA R D
1212,L AH M B ER Y AA R D Z
1213,AH N D ER AA R M
1214,M AE S T ER K AA R D
1215,M AE S T ER K AA R D Z
1216,M AE S T ER K AA R D Z
1217,V AE N D ER M AA R K
1218,EH B ER HH AA R T
1219,EH B ER HH AA R T
1220,EH B ER HH AA R T
1221,EH V ER HH AA R T
1222,EH V ER HH AA R T
1223,R EH P ER T W AA R
1224,R EH Z ER V W AA R
1225,R EH Z ER V W AA R Z
1226,W EH S T ER G AA R D
1227,F AY ER AA R M
1228,F AY ER AA R M Z
1229,HH AY P ER K AA R D
1230,IH N T ER M AA R K
1231,IH N T ER P AA R T
1232,W AO T ER M AA R K
